,city,job_title,company_name,location,summary,salary
385,San+Francisco+CA,Junior Data Analyst,Realogy Corporate,"Emeryville, CA","You’re excited about working closely with ZapLabs’ data scientists, product managers, engineers, and senior leadership to provide insights and analyses that...",
386,San+Francisco+CA,Data Scientist,Indeed,"San Francisco, CA","As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist, machine learning expert and...",
387,San+Francisco+CA,"Associate, Data Scientist",KPMG,"San Francisco, CA 94111 (Financial District area)","Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine...",
388,San+Francisco+CA,Data Scientist/Machine Learning Engineer,iRhythm,"San Francisco, CA",Perform exploratory data analysis and visualizations of multivariate clinical data sets. IRhythm is a leading digital healthcare company focused on the way...,
389,San+Francisco+CA,Data Scientist,NativeX,"San Francisco, CA",Process and analyze large amount of data to study relationships and trends. Experience with big data software and techniques such as Spark/Hadoop data....,
390,San+Francisco+CA,Data Scientist,Recurly,"San Francisco, CA","At least 7 years of relevant working experience, with at least 3 years as a data scientist. Be a champion of data hygiene and establish processes to ensure high...",
391,San+Francisco+CA,"Data Scientist, Intern",Ancestry,"San Francisco, CA 94107 (South Of Market area)",Own your own project from analyzing data and building models to communicating results and deploying to production....,
392,San+Francisco+CA,Portfolio Analytics: Data Scientist,Earnest,"San Francisco, CA 94110 (Mission area)","As the Data Scientist on the Portfolio Analytics & Risk Team, you will report to the Chief Risk Officer and:....",
393,San+Francisco+CA,Data Scientist,Collective Health,"San Francisco, CA",You will develop tools for analytics of both health data and financial data. We are looking for an full-stack Data Scientist to join the Analytics team at...,
394,San+Francisco+CA,Data Scientist,BOLD,"San Francisco, CA","Bachelors or Masters in a relevant technical field, such as Computer Science, Statistics, Data Science, Data Engineering, Machine Learning....",
395,San+Francisco+CA,Data Scientist,Narvar,"San Francisco, CA",This is an excellent opportunity to help expand the data science practice and work with talented developers and scientists....,
396,San+Francisco+CA,"Data Scientist, Marketing Analytics",Prosper,"San Francisco, CA",We are seeking an experienced data scientist to join our Marketing Analytics team in San Francisco. Strong knowledge of SQL / Python / R or other mathematical...,
397,San+Francisco+CA,Data Scientist,BlueVine,"Redwood City, CA","Your work will include applying machine learning methods for data mining, performing statistical analyses and building prediction models critical to maintaining...",
398,San+Francisco+CA,Product Scientist: Data Science,Indeed,"San Francisco, CA","While machine learning is one tool in our toolbox, Product Scientists use a variety of skills with the goal of driving business impact using whatever tools...",
399,San+Francisco+CA,Data Scientist,eBay Inc.,"San Francisco, CA",Work also involves building production facing user components which heavily rely on data mining and machine learning....,
400,San+Francisco+CA,Data Scientist,eBay Inc.,"San Francisco, CA",Work also involves building production facing user components which heavily rely on data mining and machine learning....,
401,San+Francisco+CA,Product Scientist: Data Science,Indeed,"San Francisco, CA","While machine learning is one tool in our toolbox, Product Scientists use a variety of skills with the goal of driving business impact using whatever tools...",
402,San+Francisco+CA,"Data Scientist, Marketing Analytics",Prosper,"San Francisco, CA",We are seeking an experienced data scientist to join our Marketing Analytics team in San Francisco. Strong knowledge of SQL / Python / R or other mathematical...,
403,San+Francisco+CA,People Scientist,Culture Amp,"San Francisco, CA","To manipulate data and draw insights from large (often messy) data sets preferred. Master’s in Statistics, Mathematics, Computer Science, Business Analytics, or...",
404,San+Francisco+CA,Data Scientist,Pocket Gems,"San Francisco, CA 94104 (Financial District area)","Collaborate with other data analysts, data scientists and engineers on the analytics team. As a Data Scientist, you’ll work with product managers to set the...",
405,San+Francisco+CA,Data Engineer I,Prosper,"San Francisco, CA","Builds partnerships with business users, analysts, and data scientists to understand data, reporting, and analytic requirements....",
406,San+Francisco+CA,Data Scientist / Machine Learning Engineer,Twitter,"San Francisco, CA 94103 (South Of Market area)",You’re a data scientist / machine learning engineer with an interest in infrastructure and large scale modeling....,
407,San+Francisco+CA,Machine Learning Engineer/Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)","BS, MS, or PhD in computer science, data mining, machine learning, information retrieval, recommendation systems, natural language processing, statistics, math,...",
408,San+Francisco+CA,"Data Scientist, Product",Twitter,"San Francisco, CA 94103 (South Of Market area)","Twitter data scientists create increasingly sophisticated models of users and content. Write Map-Reduce jobs in Scalding/Spark, complex SQL queries, R and...",
409,San+Francisco+CA,Algorithm Engineer/Data Scientist,Motiv,"San Francisco, CA",Motiv's advanced sensors and analytics provide real and actionable insights to connect the dots in your life and discover new patterns to help you achieve your...,
410,San+Francisco+CA,"Data Science, Machine Learning Intern",Glassdoor,"San Francisco, CA","The ideal candidate will be extremely curious, and have a strong scientific background in machine learning, math, statistics, and be obsessed with results....",
411,San+Francisco+CA,Business Intelligence Developer,Square,"San Francisco, CA 94103 (South Of Market area)","Partner with product analysts, data scientists, business users, and others to understand their needs and come up with an end to end solution....",
412,San+Francisco+CA,Junior Data Analyst,Realogy Corporate,"Emeryville, CA","You’re excited about working closely with ZapLabs’ data scientists, product managers, engineers, and senior leadership to provide insights and analyses that...",
413,San+Francisco+CA,Data Scientist / Predictive Modeler,M Theory Solutions,"Palo Alto, CA 94304",Ready to demonstrate your marketing analytics and data sciences prowess? You should be well-versed in machine learning algorithms – which is best for achieving...,
414,San+Francisco+CA,Data Scientist,Indeed,"San Francisco, CA","As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist, machine learning expert and...",
415,San+Francisco+CA,Data Scientist,eBay Inc.,"San Francisco, CA",Work also involves building production facing user components which heavily rely on data mining and machine learning....,
416,San+Francisco+CA,Junior Data Analyst,Realogy Corporate,"Emeryville, CA","You’re excited about working closely with ZapLabs’ data scientists, product managers, engineers, and senior leadership to provide insights and analyses that...",
417,San+Francisco+CA,Data Scientist,Sitecore,"San Francisco, CA","Modeling and predictive analytics skills and experience, including multivariate data mining and machine learning techniques....",
418,San+Francisco+CA,Data Scientist / Machine Learning Engineer,Twitter,"San Francisco, CA 94103 (South Of Market area)",You’re a data scientist / machine learning engineer with an interest in infrastructure and large scale modeling....,
419,San+Francisco+CA,Machine Learning Engineer/Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)","BS, MS, or PhD in computer science, data mining, machine learning, information retrieval, recommendation systems, natural language processing, statistics, math,...",
420,San+Francisco+CA,"Data Scientist, Product",Twitter,"San Francisco, CA 94103 (South Of Market area)","Twitter data scientists create increasingly sophisticated models of users and content. Write Map-Reduce jobs in Scalding/Spark, complex SQL queries, R and...",
421,San+Francisco+CA,"Data Scientist, Engineering",Google,"San Francisco, CA","4 years of relevant work experience (e.g., as a statistician / computational biologist / bioinformatician / data scientist), including deep expertise and...",
422,San+Francisco+CA,Data Scientist,"Outpost Games, Inc.","South San Francisco, CA",Solid understanding of statistical modeling / predictive analysis/ machine learning / data mining / recommender system concepts....,
423,San+Francisco+CA,Business Intelligence Developer,Square,"San Francisco, CA 94103 (South Of Market area)","Partner with product analysts, data scientists, business users, and others to understand their needs and come up with an end to end solution....",
424,San+Francisco+CA,Data Scientist,Shipt,"San Francisco, CA","At least 2 years of experience with data analysis and turning data into insights and recommendations. Experience in optimization, search and recommendations,...",
